                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6162,                 5.3852,                  4.205,                0.00056,                0.17759,                0.00083,                0.00023,                  3.262,                 5.3485,                 4.1022,             0.00040799,             0.00040799,             0.00040799
                      1,                 3.4518,                 5.0662,                 4.0346,                0.00063,                0.23388,                0.00132,                0.00031,                  3.124,                 5.0088,                  3.821,             0.00082329,             0.00082329,             0.00082329
                      2,                 3.2677,                 4.9448,                 3.8151,                0.00045,                0.21207,                0.00202,                0.00078,                  3.118,                 5.5222,                 3.9952,              0.0012372,              0.0012372,              0.0012372
                      3,                  3.151,                 4.7565,                  3.563,                0.00064,                0.29434,                 0.0007,                0.00014,                 2.9344,                 5.6056,                 3.7186,              0.0012438,              0.0012438,              0.0012438
                      4,                 3.0573,                 4.6073,                  3.465,                0.00044,                0.25748,                0.00051,                0.00012,                 2.9208,                 7.6036,                 3.3227,              0.0012438,              0.0012438,              0.0012438
                      5,                 3.0564,                 4.5369,                 3.3235,                0.00077,                0.32925,                0.00187,                0.00043,                 2.9768,                 5.6798,                 3.2478,              0.0012418,              0.0012418,              0.0012418
                      6,                 2.9948,                 4.4815,                 3.2869,                0.00367,                0.42215,                0.00648,                0.00127,                 2.7937,                 4.3829,                  3.321,              0.0012397,              0.0012397,              0.0012397
                      7,                 2.8314,                 4.4161,                 3.1831,                0.00151,                0.49082,                 0.0073,                0.00196,                 2.7395,                 4.3043,                 3.0643,              0.0012376,              0.0012376,              0.0012376
                      8,                 2.7356,                 4.3436,                 3.0888,                0.00188,                0.49544,                0.00502,                0.00122,                 2.7449,                 4.4348,                 3.1131,              0.0012356,              0.0012356,              0.0012356
                      9,                 2.6885,                 4.2887,                 3.0399,                0.00189,                 0.5776,                0.01046,                0.00292,                 2.6617,                  4.268,                 3.0063,              0.0012335,              0.0012335,              0.0012335
                     10,                 2.6449,                 4.2507,                 2.9802,                0.75395,                0.02564,                 0.0089,                0.00244,                  2.721,                 4.7346,                  3.055,              0.0012314,              0.0012314,              0.0012314
                     11,                 2.6254,                   4.18,                  2.933,                0.00218,                 0.5235,                0.01162,                0.00211,                 2.6773,                 4.2749,                 2.9992,              0.0012294,              0.0012294,              0.0012294
                     12,                 2.5656,                 4.1795,                 2.9108,                0.00343,                0.64899,                0.00713,                0.00184,                  2.722,                 4.5493,                 2.9929,              0.0012273,              0.0012273,              0.0012273
                     13,                 2.5076,                 4.1006,                 2.8373,                0.82291,                0.01603,                0.02503,                0.00501,                 2.6338,                 5.3246,                 2.9765,              0.0012252,              0.0012252,              0.0012252
                     14,                 2.5136,                 4.0336,                 2.8323,                0.79991,                0.01603,                0.01847,                0.00578,                 2.6532,                 4.7849,                 3.0124,              0.0012232,              0.0012232,              0.0012232
